# timestamp(s) tx ty tz qx qy qz qw
1.520621016 0.000000000 0.000000000 0.000000000 -0.016235284 -0.028592584 0.999450843 -0.004110060
1.520621016 0.000000000 0.000000000 0.000000000 0.015578424 0.028032697 -0.999473434 0.004933007
1.520621016 0.000000000 0.000000000 0.000000000 0.015098032 0.023273547 -0.999613840 0.001601005
1.520621016 0.000000000 0.000000000 0.000000000 -0.014919699 -0.016970591 0.999730022 0.005411497
1.520621016 0.000000000 0.000000000 0.000000000 -0.017191353 -0.013290810 0.999682211 0.012778445
1.520621016 0.000000000 0.000000000 0.000000000 -0.020710042 -0.012124111 0.999590395 0.015593043
1.520621016 0.000000000 0.000000000 0.000000000 -0.024354288 -0.011685192 0.999524682 0.014857143
1.520621016 0.000000000 0.000000000 0.000000000 -0.026503330 -0.012253133 0.999495955 0.012460774
1.520621016 0.000000000 0.000000000 0.000000000 -0.028863466 -0.014655902 0.999434073 0.009145418
1.520621016 0.000000000 0.000000000 0.000000000 -0.030467905 -0.014787410 0.999396051 0.007782855
1.520621016 0.000000000 0.000000000 0.000000000 -0.031599994 -0.013382490 0.999366490 0.009432246
1.520621016 0.000000000 0.000000000 0.000000000 -0.032644565 -0.012860529 0.999317087 0.011588716
1.520621016 0.000000000 0.000000000 0.000000000 -0.032591530 -0.013727896 0.999292980 0.012762338
1.520621016 0.000000000 0.000000000 0.000000000 -0.032058121 -0.014744201 0.999297095 0.012657103
1.520621016 0.000000000 0.000000000 0.000000000 -0.031710125 -0.014939164 0.999323927 0.011089545
1.520621016 0.000000000 0.000000000 0.000000000 -0.032544814 -0.012750843 0.999355314 0.008197980
1.520621016 0.000000000 0.000000000 0.000000000 -0.034330091 -0.010700101 0.999332698 0.006411889
1.520621016 0.000000000 0.000000000 0.000000000 -0.037950729 -0.008989726 0.999212435 0.007310109
1.520621016 0.000000000 0.000000000 0.000000000 -0.041088976 -0.008674109 0.999057733 0.010959148
1.520621016 0.000000000 0.000000000 0.000000000 -0.043467229 -0.007840111 0.998865987 0.017772826
1.520621017 0.000000000 0.000000000 0.000000000 -0.045567379 -0.006586228 0.998625456 0.025048640
1.520621017 0.000000000 0.000000000 0.000000000 -0.046928220 -0.006809099 0.998472513 0.028355239
1.520621017 0.000000000 0.000000000 0.000000000 -0.046547448 -0.007655189 0.998545330 0.026114302
1.520621017 0.000000000 0.000000000 0.000000000 -0.044848621 -0.009953335 0.998736018 0.020393585
1.520621017 0.000000000 0.000000000 0.000000000 -0.043249636 -0.013386257 0.998869167 0.014514278
1.520621017 0.000000000 0.000000000 0.000000000 -0.042601967 -0.016683365 0.998885809 0.011570623
1.520621017 0.000000000 0.000000000 0.000000000 -0.042979848 -0.018115520 0.998851369 0.010977388
1.520621017 0.000000000 0.000000000 0.000000000 -0.043632232 -0.018307039 0.998813883 0.011485081
1.520621017 0.000000000 0.000000000 0.000000000 -0.044205637 -0.018015878 0.998789598 0.011858679
1.520621017 0.000000000 0.000000000 0.000000000 -0.044497720 -0.017315352 0.998781996 0.012436082
1.520621017 0.000000000 0.000000000 0.000000000 -0.044516475 -0.016709604 0.998771680 0.013935679
1.520621017 0.000000000 0.000000000 0.000000000 -0.043752295 -0.016110389 0.998794119 0.015378562
1.520621017 0.000000000 0.000000000 0.000000000 -0.042830422 -0.016258955 0.998826635 0.015702059
1.520621017 0.000000000 0.000000000 0.000000000 -0.041583466 -0.017615284 0.998885946 0.013688856
1.520621017 0.000000000 0.000000000 0.000000000 -0.040092733 -0.018918080 0.998957053 0.010930896
1.520621017 0.000000000 0.000000000 0.000000000 -0.038660579 -0.019778831 0.999008977 0.009758110
1.520621017 0.000000000 0.000000000 0.000000000 -0.037244324 -0.020543921 0.999052132 0.009254467
1.520621017 0.000000000 0.000000000 0.000000000 -0.034924942 -0.020535473 0.999150970 0.007475475
1.520621017 0.000000000 0.000000000 0.000000000 -0.033539289 -0.019510434 0.999234651 0.004956976
1.520621017 0.000000000 0.000000000 0.000000000 -0.033460710 -0.017354928 0.999284946 0.002963872
1.520621018 0.000000000 0.000000000 0.000000000 -0.033522633 -0.014729246 0.999328474 0.001372181
1.520621018 0.000000000 0.000000000 0.000000000 0.033391430 0.011863790 -0.999371746 0.000613738
1.520621018 0.000000000 0.000000000 0.000000000 0.033297269 0.007702156 -0.999412619 0.002527066
1.520621018 0.000000000 0.000000000 0.000000000 0.033502278 0.002742825 -0.999430179 0.003064606
1.520621018 0.000000000 0.000000000 0.000000000 0.033405412 -0.002499932 -0.999435668 0.002484817
1.520621018 0.000000000 0.000000000 0.000000000 0.033443798 -0.009135250 -0.999397347 0.001732993
1.520621018 0.000000000 0.000000000 0.000000000 0.033287024 -0.015691238 -0.999322299 0.000837217
1.520621018 0.000000000 0.000000000 0.000000000 0.032472225 -0.020178582 -0.999268856 0.000363777
1.520621018 0.000000000 0.000000000 0.000000000 0.031508967 -0.023774077 -0.999220053 0.001123835
1.520621018 0.000000000 0.000000000 0.000000000 0.031026957 -0.027609526 -0.999131867 0.003248679
